Name,Size,Type,Alignment,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,SavingThrows,Skills,WRI,Senses,Languages,CR,Additional,Font,AdditionalInfo,Author
"Devil, Pit Fiend",Large,fiend (devil),lawful evil,19,300,"30 ft., fly 60 ft.",26,14,24,22,18,24,"Dex, Con, Wis",,"Coldres, nonmagicalres, nonsilveredres, fireres, poisonres, poisonedres",Truesight 120,"Infernal, telepathy 120",20,"Fear Aura, Magic Resistance, Magic Weapon, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Devil, Spined",Small,fiend (devil),lawful evil,15,22,"20 ft., fly 40 ft.",10,15,12,11,14,8,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",2,"Devil's Sight, Flyby, Limited Spines, Magic Resistance",Monster Manual,,Wizards of the Coast
Devourer,Large,fiend,chotic evil,16,178,30 ft.,20,12,20,13,10,16,,,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 120",13,,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Allosaurus",Large,beast,unaligned,13,51,60 ft.,19,13,17,2,12,5,,Perception,,Normal,,2,Pounce,Monster Manual,,Wizards of the Coast
"Dinosaur, Ankylosaurus",Huge,beast,unaligned,15,68,30 ft.,19,11,15,2,12,5,,,,Normal,,3,,Monster Manual,,Wizards of the Coast
"Dinosaur, Brontosaurus",Gargantuan,beast,unaligned,15,121,30 ft.,21,9,17,2,10,7,Con,,,Normal,,5,,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Deinonychus",Medium,beast,unaligned,13,26,40 ft.,15,15,14,4,12,6,,Perception,,Normal,,1,Pounce,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Dimetrodon",Medium,beast,unaligned,12,19,"30 ft., swim 20 ft.",14,10,15,2,10,5,,Perception,,Normal,,1/4,,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Hadrosaurus",Large,beast,unaligned,11,19,40 ft.,15,10,13,2,10,5,,Perception,,Normal,,1/4,,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Plesiosaurus",Large,beast,unaligned,13,68,"20 ft., swim 40 ft.",18,15,16,2,12,5,,"Perception, Stealth",,Normal,,2,Hold Breath,Monster Manual,,Wizards of the Coast
"Dinosaur, Pteranodon",Medium,beast,unaligned,13,13,"10 ft., fly 60 ft.",12,15,10,2,9,5,,Perception,,Normal,,1/4,Flyby,Monster Manual,,Wizards of the Coast
"Dinosaur, Quetzalcoatlus",Huge,beast,unaligned,13,30,"10 ft., fly 80 ft.",15,13,13,2,10,5,,Perception,,Normal,,2,"Dive Attack, FLyby",Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Stegosaurus",Huge,beast,unaligned,13,76,40 ft.,20,9,17,2,11,5,,,,Normal,,4,,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Triceratops",Huge,beast,unaligned,13,95,50 ft.,22,9,17,2,11,5,,,,Normal,,5,Trampling Charge,Monster Manual,,Wizards of the Coast
"Dinosaur, Tyrannosaurus Rex",Huge,beast,unaligned,13,136,50 ft.,25,10,19,2,12,9,,Perception,,Normal,,8,,Monster Manual,,Wizards of the Coast
"Dinosaur, Velociraptor",Tiny,beast,unaligned,13,10,30 ft.,6,14,13,4,12,6,,Perception,,Normal,,1/4,Pack Tactics,Volo's Guide to Monsters,,Wizards of the Coast
Displacer Beast,Large,monstrosity,lawful evil,13,85,40 ft.,18,15,16,6,12,8,,,,Darkvision 60,,3,"Avoidance, Displacement",Monster Manual,,Wizards of the Coast
Doppelganger,Medium,monstrosity,neutral,14,52,30 ft.,11,18,14,11,12,14,,"Deception, Insight",Charmedimmu,Darkvision 60,Common,3,"Shapechanger, Ambusher, Surprise Attack",Monster Manual,,Wizards of the Coast
Dracolich Template,TEMP,undead,lawful evil,TEMP,TEMP,TEMP ft.,TEMP,TEMP,TEMP,TEMP,TEMP,TEMP,Temp,TEMP,"TEMP, necroticres, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, poisonedimmu, exhaustionimmu",TEMP,TEMP,TEMP,"TEMP, Magic Resistance",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Black, Adult",Huge,dragon,chotic evil,19,195,"40 ft., fly 80 ft., swim 40 ft.",23,14,21,14,13,17,"Dex, Con, Wis, Cha","Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",14,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Black, Ancient",Gargantuan,dragon,chotic evil,22,367,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,19,"Dex, Con, Wis, Cha","Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",21,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Black, Wyrmling",Medium,dragon,chotic evil,17,33,"30 ft., fly 60 ft., swim 30 ft.",15,14,13,10,11,13,"Dex, Con, Wis, Cha","Perception, Stealth",Acidimmu,"Blindsight 30, darkvision 120","Common, Draconic",2,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Black, Young",Large,dragon,chotic evil,18,127,"40 ft., fly 80 ft., swim 40 ft.",19,14,17,12,11,15,"Dex, Con, Wis, Cha","Perception, Stealth",Acidimmu,"Blindsight 10, darkvision 60",Draconic,7,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Blue, Adult",Huge,dragon,lawful evil,19,225,"40 ft., burrow 40 ft., fly 80 ft.",25,10,23,16,15,19,"Dex, Con, Wis, Cha","Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",16,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Blue, Ancient",Gargantuan,dragon,lawful evil,22,481,"40 ft., burrow 30 ft., fly 80 ft.",29,10,27,18,17,21,"Dex, Con, Wis, Cha","Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",23,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Blue, Wyrmling",Medium,dragon,lawful evil,17,52,"30 ft., burrow 15 ft., fly 60 ft.",17,10,15,12,11,15,"Dex, Con, Wis, Cha","Perception, Stealth",Lightningimmu,"Blindsight 30, darkvision 120","Common, Draconic",3,,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Blue, Young",Large,dragon,lawful evil,18,152,"40 ft., burrow 20 ft., fly 80 ft.",21,10,19,14,13,17,"Dex, Con, Wis, Cha","Perception, Stealth",Lightningimmu,"Blindsight 10, darkvision 60",Draconic,9,,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Green, Adult",Huge,dragon,lawful evil,19,207,"40 ft., fly 80 ft., swim 40 ft.",23,12,21,18,15,17,"Dex, Con, Wis, Cha","Deception, Insight, Perception, Persuasion, Stealth","Poisonimmu, poisonedimmu","Blindsight 60, darkvision 120","Common, Draconic",15,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Green, Ancient",Gargantuan,dragon,lawful evil,21,385,"40 ft., fly 80 ft., swim 40 ft.",27,12,25,20,17,19,"Dex, Con, Wis, Cha","Deception, Insight, Perception, Persuasion, Stealth","Poisonimmu, poisonedimmu","Blindsight 60, darkvision 120","Common, Draconic",22,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Green, Wyrmling",Medium,dragon,lawful evil,17,38,"30 ft., fly 60 ft., swim 30 ft.",15,12,13,14,11,13,"Dex, Con, Wis, Cha","Perception, Stealth","Poisonimmu, poisonedimmu","Blindsight 30, darkvision 120",Draconic,2,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Green, Young",Large,dragon,lawful evil,18,136,"40 ft., fly 80 ft., swim 40 ft.",19,12,17,16,13,15,"Dex, Con, Wis, Cha","Deception, Perception, Stealth","Poisonimmu, poisonedimmu","Blindsight 60, darkvision 120","Common, Draconic",8,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Red, Adult",Huge,dragon,chotic evil,19,256,"40 ft., climb 40 ft., fly 80 ft.",27,10,25,16,13,21,"Dex, Con, Wis, Cha","Perception, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",17,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Red, Ancient",Gargantuan,dragon,chotic evil,22,546,"40 ft., climb 40 ft., fly 80 ft.",30,10,29,18,15,23,"Dex, Con, Wis, Cha","Perception, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",24,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Red, Wyrmling",Medium,dragon,chotic evil,17,75,"40 ft., climb 40 ft., fly 80 ft.",19,10,17,12,11,15,"Dex, Con, Wis, Cha","Perception, Stealth",Fireimmu,"Blindsight 30, darkvision 120",Draconic,4,,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Red, Young",Large,dragon,chotic evil,18,178,"30 ft., climb 30 ft., fly 60 ft.",23,10,21,14,11,19,"Dex, Con, Wis, Cha","Perception, Stealth",Fireimmu,"Blindsight 10, darkvision 60","Common, Draconic",10,,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, White, Adult",Huge,dragon,chotic evil,18,200,"40 ft., burrow 30 ft., fly 80 ft.,  swim 40 ft.",22,10,22,8,12,12,"Dex, Con, Wis, Cha","Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",13,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, White, Ancient",Gargantuan,dragon,chotic evil,20,333,"40 ft., burrow 40 ft., fly 80 ft., swim 40 ft.",26,10,26,10,13,14,"Dex, Con, Wis, Cha","Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",20,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, White, Wyrmling",Medium,dragon,chotic evil,16,32,"30 ft., burrow 15 ft., fly 60 ft., swim 30 ft.",14,10,14,5,10,11,"Dex, Con, Wis, Cha","Perception, Stealth",Coldimmu,"Blindsight 10, darkvision 60",Draconic,2,Ice Walk,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, White, Young",Large,dragon,chotic evil,14,133,"40 ft., burrow 20 ft., fly 80 ft., swim 40 ft.",18,10,18,6,11,12,"Dex, Con, Wis, Cha","Perception, Stealth",Coldimmu,"Blindsight 30, darkvision 120","Common, Draconic",6,Ice Walk,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Brass, Adult",Huge,dragon,chaotic good,18,172,"40 ft., burrow 30 ft., fly 80 ft.",23,10,21,14,13,17,"Dex, Con, Wis, Cha","History, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120,","Common, Draconic",13,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Brass, Ancient",Gargantuan,dragon,chaotic good,20,297,"40 ft., burrow 40 ft., fly 80 ft.",27,10,25,16,15,19,"Dex, Con, Wis, Cha","History, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120,","Common, Draconic",20,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Brass, Wyrmling",Medium,dragon,chaotic good,16,16,"30 ft., burrow 15 ft., fly 60 ft.",15,10,13,10,11,13,"Dex, Con, Wis, Cha","Perception, Stealth",Fireimmu,"Blindsight 10, Darkvision 60",Draconic,1,,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Brass, Young",Large,dragon,chaotic good,17,110,"40 ft., burrow 20 ft., fly 80 ft.",19,10,17,12,11,15,"Dex, Con, Wis, Cha","Perception, Persuasion, Stealth",Fireimmu,"Blindsight 30, Darkvision 120","Common, Draconic",6,,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Bronze, Adult",Huge,dragon,lawful good,19,212,"40 ft., fly 80 ft., swim 40 ft.",25,10,23,16,15,19,"Dex, Con, Wis, Cha","Insight, Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",15,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Bronze, Ancient",Gargantuan,dragon,lawful good,22,444,"40 ft., fly 80 ft., swim 40 ft.",29,10,27,18,17,21,"Dex, Con, Wis, Cha","Insight, Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",22,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Bronze, Wyrmling",Medium,dragon,lawful good,17,32,"30 ft., fly 60 ft., swim 30 ft.",17,10,15,12,11,15,"Dex, Con, Wis, Cha","Perception, Stealth",Lightningimmu,"Blindsight 10, darkvision 60",Draconic,2,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Bronze, Young",Large,dragon,lawful good,18,142,"40 ft., fly 80 ft., swim 40 ft.",21,10,19,14,13,17,"Dex, Con, Wis, Cha","Insight, Perception, Stealth",Lightningimmu,"Blindsight 30, Darkvision 120","Common, Draconic",8,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Copper, Adult",Huge,dragon,chaotic good,18,184,"40 ft., climb 40 ft., fly 80 ft.",23,12,21,18,15,17,"Dex, Con, Wis, Cha","Deception, Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",14,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Copper, Ancient",Gargantuan,dragon,chaotic good,21,350,"40 ft., climb 40 ft., fly 80 ft.",27,12,25,20,17,19,"Dex, Con, Wis, Cha","Deception, Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",21,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Copper, Wyrmling",Medium,dragon,chaotic good,16,22,"30 ft., climb 30 ft., fly 60 ft.",15,12,13,14,11,13,"Dex, Con, Wis, Cha","Perception, Stealth",Acidimmu,"Blindsight 10, darkvision 60",Draconic,1,,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Copper, Young",Large,dragon,chaotic good,17,119,"40 ft., climb 40 ft., fly 80 ft.",19,12,17,16,13,15,"Dex, Con, Wis, Cha","Deception, Perception, Stealth",Acidimmu,"Blindsight 30, darkvision 120","Common, Draconic",7,,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Gold, Adult",Huge,dragon,lawful good,19,256,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,24,"Dex, Con, Wis, Cha","Insight, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",17,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Gold, Ancient",Gargantuan,dragon,lawful good,22,546,"40 ft., fly 80 ft., swim 40 ft.",30,14,29,18,17,28,"Dex, Con, Wis, Cha","Insight, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",24,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Gold, Wyrmling",Medium,dragon,lawful good,17,60,"30 ft., fly 60 ft., swim 30 ft.",19,14,17,14,11,16,"Dex, Con, Wis, Cha","Perception, Stealth",Fireimmu,"Blindsight 10, darkvision 60",Draconic,3,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Gold, Young",Large,dragon,lawful good,18,178,"40 ft., fly 80 ft., swim 40 ft.",23,14,21,16,13,20,"Dex, Con, Wis, Cha","Insight, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 30, darkvision 120","Common, Draconic",10,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Silver, Adult",Huge,dragon,lawful good,19,243,"40 ft., fly 80 ft.",27,10,25,16,13,21,"Dex, Con, Wis, Cha","Arcana, History, Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",16,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Silver, Ancient",Gargantuan,dragon,lawful good,22,487,"40 ft., fly 80 ft.",30,10,29,18,15,23,"Dex, Con, Wis, Cha","Arcana, History, Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",23,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Silver, Wyrmling",Medium,dragon,lawful good,17,45,"30 ft., fly 60 ft.",19,10,17,12,11,15,"Dex, Con, Wis, Cha","Perception, Stealth",Coldimmu,"Blindsight 10, darkvision 60",Draconic,2,,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Silver, Young",Large,dragon,lawful good,18,168,"40 ft., fly 80 ft.",23,10,21,14,11,19,"Dex, Con, Wis, Cha","Arcana, History, Perception, Stealth",Coldimmu,"Blindsight 30, darkvision 120","Common, Draconic",9,,Monster Manual,,Wizards of the Coast
"Dragon, Turtle",Gargantuan,dragon,neutral,20,341,"20 ft., swim 40 ft.",25,10,20,10,12,12,"Dex, Con, Wis",,Fireres,Darkvision 120,"Aquan, Draconic",17,Amphibious,Monster Manual,,Wizards of the Coast
Dragonclaw,Medium,humanoid (human),neutral evil,14,16,30 ft.,9,16,13,11,10,12,Wis,"Deception, Stealth",,Normal,"Common, Draconic",1,"Dragon Fanatic, Fanatical Advantage, Pack Tactics",Hoard of the Dragon Queen,,Wizards of the Coast
Dragonfang,Medium,humanoid (human),neutral evil,15,78,30 ft.,11,16,14,12,12,14,Wis,"Deception, Stealth","Acidres, coldres, fireres, lightningres, poisonres",Normal,"Common, Draconic, Infernal",5,"Dragon Fanatic, Fanatic Advantage, Limited Flight, Pack Tactics",Rise of Tiamat,,Wizards of the Coast
Dragonsoul,Medium,humanoid (human),neutral evil,16,110,30 ft.,11,18,14,13,12,16,Wis,"Deception, Stealth","Acidres, coldres, fireres, lightningres, poisonres",Normal,"Common, Draconic, Infernal",7,"Dragon Fanatic, Fanatic Advantage, Limited Flight, Pack Tactics",Rise of Tiamat,,Wizards of the Coast
Dragonwing,Medium,humanoid (human),neutral evil,14,32,30 ft.,9,16,13,11,10,12,Wis,"Deception, Stealth",,Normal,"Common, Draconic",2,"Dragon Fanatic, Fanatical Advantage, Pack Tactics",Hoard of the Dragon Queen,,Wizards of the Coast
Dread Warrior,Medium,undead,neutral evil,18,37,30 ft.,15,11,16,10,12,10,Wis,"Athletics, Perception","Poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,1,Undead Fortitude,Tales from the Yawning Portal,,Wizards of the Coast
Drider,Large,monstrosity,chotic evil,19,123,"30 ft., climb 30 ft.",16,16,18,13,14,12,,"Perception, Stealth",,Darkvision 120,"Elvish, Undercommon",6,"Fey Ancestry, Innate Spellcasting, Spider Climb, Sunlight Sensitivity, Web Walker",Monster Manual,,Wizards of the Coast
Drow,Medium,humanoid,neutral evil,15,13,30 ft.,10,14,10,11,11,12,,"Perception, Stealth",,Darkvision 120,"Elvish, Undercommon",1/4,"Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Drow Arachnomancer,Medium,humanoid (elf),chotic evil,15,162,"30 ft., climb 30 ft.",11,17,14,19,14,16,"Con, Int, Cha","Arcana, Nature, Perception, Stealth",Poisonres,"Blindsight 10, darkvision 120","Elvish, Undercommon, spiders",13,"Change Shape, Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Spider Climb, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Drow Elite Warrior,Medium,humanoid,neutral evil,18,71,30 ft.,13,18,14,11,13,12,"Dex, Con, Wis","Perception, Stealth",,Darkvision 120,"Elvish, Undercommon",5,"Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Drow Favored Consort,Medium,humanoid (elf),neutral evil,15,225,30 ft.,15,20,16,18,15,18,"Dex, Con, Cha","Acrobatics, Athletics, Perception, Stealth",,Darkvision 120,"Elvish, Undercommon",18,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity, War Magic",Mordenkainen's Tome of Foes,,Wizards of the Coast
Drow House Captain,Medium,humanoid (elf),neutral evil,16,162,30 ft.,14,19,15,12,14,13,"Dex, Con, Wis","Perception, Stealth",,Darkvision 120,"Elvish, Undercommon",9,"Battle Command, Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Drow Inquisitor,Medium,humanoid (elf),neutral evil,16,143,30 ft.,11,15,14,16,21,20,"Con, Wis, Cha","Insight, Perception, Religion, Stealth",Frightenedimmu,Darkvision 120,"Elivhs, Undercommon",14,"Discern Lie, Fey Ancestry, Innate Spellcasting, Magic Resistance, Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Drow Mage,Medium,humanoid,neutral evil,12,45,30 ft.,9,14,10,17,13,12,,"Arcana, Deception, Perception, Stealth",,Darkvision 120,"Elvish, Undercommon",7,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Drow Matron Mother,Medium,humanoid (elf),neutral evil,17,262,30 ft.,12,18,16,17,21,22,"Con, Wis, Cha","Insight, Perception, Religion, Stealth","Charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,"Elvish, Undercommon",20,"Fey Ancestry, Innate Spellcasting, Lolth's Fickle Favor, Magic Resistance, Normal Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Drow Priestess of Lolth,Medium,humanoid,neutral evil,16,71,30 ft.,10,14,12,13,17,18,"Con, Wis, Cha","Insight, Perception, Religion, Stealth",,Darkvision 120,"Elvish, Undercommon",8,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Drow Shadowblade,Medium,humanoid (elf),neutral evil,17,150,30 ft.,14,21,16,12,14,13,"Dex, Con, Wis","Perception, Stealth",,Darkvision 120,"Elvish, Undercommon",11,"Fey Ancestry, Innate Spellcasting, Shadow Step, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Dryad,Medium,fey,neutral,11,22,30 ft.,1,12,11,14,15,18,,"Perception, Stealth",,Darkvision 60,"Elvish, Sylvan",1,"Innate Spellcasting, Magic Resistance, Speak with Beasts, Speak with Plants, Tree Stride",Monster Manual,,Wizards of the Coast
Duergar,Medium,humanoid,lawful evil,16,26,25 ft.,14,11,14,11,10,9,,,Poisonres,Darkvision 120,"Dwarvish, Undercommon",1,"Duergar Resilience, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Duergar Darkhaft,Medium,humanoid (dwarf),lawful evil,16,26,25 ft.,14,11,14,11,10,9,,,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,"Duergar Resilience, Sunlight Sensitivity, Normal Spellcasting (Psionics)",Out of the Abyss,,Wizards of the Coast
Duergar Despot,Medium,humanoid (dwarf),lawful evil,21,119,25 ft.,20,5,19,15,14,13,"Con, Wis",,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 120,"Dwarvish, Undercommon",12,"Innate Spellcasting, Magic Resistance, Psychic Engine, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Hammerer,Medium,humanoid (dwarf),lawful evil,17,33,20 ft.,17,7,12,5,5,5,,,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Dwarvish,2,"Engine of Pain, Siege Monster",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Kavalrachni,Medium,humanoid (dwarf),lawful evil,16,26,25 ft.,14,11,14,11,10,9,,,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,"Cavalry Training, Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Keeper of the Flame,Medium,humanoid (dwarf),lawful evil,16,26,25 ft.,14,11,14,11,10,9,,,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,"Duergar Resilience, Innate Spellcasting (Psionics), Normal Spellcasting",Out of the Abyss,,Wizards of the Coast
Duergar Mind Master,Medium,humanoid (dwarf),lawful evil,14,39,25 ft.,11,17,14,15,10,12,Wis,"Perception, Stealth",Poisonres,"Darkvision 120, truesight 30","Dwarvish, Undercommon",2,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Screamer,Medium,construct,lawful evil,15,38,20 ft.,18,7,12,5,5,5,,,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Dwarvish,3,Engine of Pain,Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Soulblade,Medium,humanoid (dwarf),lawful evil,14,18,25 ft.,11,16,10,11,10,12,,,Poisonres,Darkvision 120,"Dwarvish, Undercommon",1,"Duergar Resilience, Create Soulblade, Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Spy,Medium,humanoid (dwarf),lawful evil,15,33,25 ft.,10,16,12,12,10,13,,"Deception, Insight, Investigation, Perception, Persuasion, Sleight of Hand, Stealth",Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,"Cunning Action, Duergar Resilience, Sneak Attack, Sunlight Sensitivity",Tales from the Yawning Portal,,Wizards of the Coast
Duergar Stone Guard,Medium,humanoid (dwarf),lawful evil,18,39,25 ft.,18,11,14,11,10,9,,,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,"Duergar Resilience, Phalanx Formation, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Warlord,Medium,humanoid (dwarf),lawful evil,20,75,25 ft.,18,11,17,12,12,14,,,Poisonres,Darkvision 120,"Dwarvish, Undercommon",6,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Xarrorn,Medium,humanoid (dwarf),lawful evil,18,26,25 ft.,16,11,14,11,10,9,,,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Eblis,Large,monstrosity,neutral evil,13,26,"30 ft., fly 40 ft.",11,16,12,12,14,11,,,,Normal,"Auran, Common",1,Innate Spellcasting,Tomb of Annihilation,,Wizards of the Coast
Eidolon,Medium,undead,ANY,9,63,fly 40 ft.,7,8,9,14,19,16,Wis,Perception,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,Any,12,"Incorporeal Movement, Sacred Animation, Turn Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
